# layer	api	file	offset	size	ret
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00000.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00001.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00002.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00003.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00004.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00005.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00006.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00007.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00008.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00009.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00010.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00011.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00012.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00013.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00014.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00015.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00016.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00017.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00018.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00019.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00020.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00021.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00022.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00023.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00024.npy	-1	4096	4096
POSIX	read	/mnt/nvme1/gdstrace-smoke/npy/a00025.npy	-1	4096	4096
