size,threads,cap_kb,A_cmd,GiBps_mean,GiBps_sd,lat_us_mean,lat_us_sd
1M,1,1280,1,1.904,0.080,512.000,20.451
4M,1,1280,4,2.443,0.012,1584.284,7.699
8M,1,1280,7,2.557,0.047,3003.781,54.958
16M,1,1280,13,2.672,0.014,5660.406,30.159
1M,4,1280,1,2.911,0.018,1334.197,7.961
4M,4,1280,4,2.937,0.004,5211.067,5.878
8M,4,1280,7,2.935,0.004,10235.747,25.268
16M,4,1280,13,2.924,0.012,19770.079,39.086
1M,1,2048,1,1.898,0.077,513.686,19.852
4M,1,2048,2,2.388,0.076,1622.303,49.842
8M,1,2048,4,2.489,0.091,3091.397,113.278
16M,1,2048,8,2.705,0.056,5590.438,117.943
1M,4,2048,1,2.911,0.017,1334.499,7.203
4M,4,2048,2,2.933,0.013,5235.303,23.275
8M,4,2048,4,2.927,0.012,10303.743,61.349
16M,4,2048,8,2.932,0.005,19704.876,45.132
