experiment,arm,rep,metric,unit,value
optimization,scatter,1,useful_throughput,GiBps,0.132
optimization,scatter,2,useful_throughput,GiBps,0.156
optimization,scatter,3,useful_throughput,GiBps,0.154
optimization,scatter,4,useful_throughput,GiBps,0.162
optimization,scatter,5,useful_throughput,GiBps,0.155
optimization,aligned,1,useful_throughput,GiBps,0.139
optimization,aligned,2,useful_throughput,GiBps,0.152
optimization,aligned,3,useful_throughput,GiBps,0.159
optimization,aligned,4,useful_throughput,GiBps,0.147
optimization,aligned,5,useful_throughput,GiBps,0.125
optimization,packed,1,useful_throughput,GiBps,2.628
optimization,packed,2,useful_throughput,GiBps,2.626
optimization,packed,3,useful_throughput,GiBps,2.613
optimization,packed,4,useful_throughput,GiBps,2.590
optimization,packed,5,useful_throughput,GiBps,2.555
hdf5,chunked_cacheON,1,read_bandwidth,GiBps,0.599
hdf5,chunked_cacheON,2,read_bandwidth,GiBps,0.586
hdf5,chunked_cacheON,3,read_bandwidth,GiBps,0.611
hdf5,chunked_cacheON,4,read_bandwidth,GiBps,0.796
hdf5,chunked_cacheON,5,read_bandwidth,GiBps,0.795
hdf5,chunked_cacheOFF,1,read_bandwidth,GiBps,0.587
hdf5,chunked_cacheOFF,2,read_bandwidth,GiBps,0.578
hdf5,chunked_cacheOFF,3,read_bandwidth,GiBps,0.576
hdf5,chunked_cacheOFF,4,read_bandwidth,GiBps,0.568
hdf5,chunked_cacheOFF,5,read_bandwidth,GiBps,0.571
hdf5,contiguous,1,read_bandwidth,GiBps,1.774
hdf5,contiguous,2,read_bandwidth,GiBps,1.547
hdf5,contiguous,3,read_bandwidth,GiBps,1.595
hdf5,contiguous,4,read_bandwidth,GiBps,1.576
hdf5,contiguous,5,read_bandwidth,GiBps,1.755
