condition,rep,metric,unit,value
alone,1,small_p50,us,136.0
alone,1,small_p99,us,213.0
large_1MiB_2,1,small_p50,us,146.0
large_1MiB_2,1,small_p99,us,671.0
large_4MiB_2,1,small_p50,us,151.0
large_4MiB_2,1,small_p99,us,2083.0
large_4MiB_4,1,small_p50,us,151.0
large_4MiB_4,1,small_p99,us,4635.0
alone,2,small_p50,us,133.0
alone,2,small_p99,us,210.0
large_1MiB_2,2,small_p50,us,150.0
large_1MiB_2,2,small_p99,us,653.0
large_4MiB_2,2,small_p50,us,151.0
large_4MiB_2,2,small_p99,us,2049.0
large_4MiB_4,2,small_p50,us,148.0
large_4MiB_4,2,small_p99,us,4904.0
alone,3,small_p50,us,140.0
alone,3,small_p99,us,220.0
large_1MiB_2,3,small_p50,us,149.0
large_1MiB_2,3,small_p99,us,665.0
large_4MiB_2,3,small_p50,us,151.0
large_4MiB_2,3,small_p99,us,2267.0
large_4MiB_4,3,small_p50,us,147.0
large_4MiB_4,3,small_p99,us,4833.0
